Reduction,reduction,,Pixel,ADU,Pixel,ADU
"4095,2","2,541615085",,0,"520,014446391",236,690
,,,,,237,692
,,,,,238,691
,,,,,239,671
"4096,8","2,19347757",,0,"448,785510822",240,650
,,,,,241,672
,,,,,242,671
,,,,,243,672
"4098,4","1,813095165",,0,"370,959270759",244,668
,,,,,245,686
,,,,,246,672
,,,,,247,676
4100,"1,3997563825",,0,"286,3901558595",248,687
,,,,,249,681
,,,,,250,682
,,,,,251,684
"4101,6","1,022529705",,0,"209,209577643",252,678
,,,,,253,678
,,,,,254,682
,,,,,255,682
"4103,2","1,27958743",,0,"261,803588178",256,680
,,,,,257,682
,,,,,258,681
,,,,,259,673
"4104,8","1,6963041675",,0,"347,0638326705",260,659
,,,,,261,670
,,,,,262,679
,,,,,263,678
"4106,4","2,0821608125",,0,"426,0101022375",264,679
,,,,,265,677
,,,,,266,674
,,,,,267,670
4108,"2,4448666825",,0,"500,2197232395",268,674
,,,,,269,673
,,,,,270,669
,,,,,271,661
"4109,6","2,7329557925",,0,"559,1627551455",272,667
,,,,,273,666
,,,,,274,671
,,,,,275,670
"4111,2","2,9867308475",,0,"611,0851313985",276,666
,,,,,277,653
,,,,,278,665
,,,,,279,663
"4112,8","3,2152862275",,0,"657,8475621465",280,664
,,,,,281,657
,,,,,282,660
,,,,,283,664
"4114,4","3,37906719",,0,"691,357147074",284,658
,,,,,285,662
,,,,,286,661
,,,,,287,660
4116,"3,52190711",,0,"720,582194706",288,657
,,,,,289,658
,,,,,290,657
,,,,,291,653
"4117,6","3,61777514",,0,"740,196793644",292,642
,,,,,293,637
,,,,,294,612
,,,,,295,632
"4119,2","3,6824506175",,0,"753,4293963405",296,649
,,,,,297,649
,,,,,298,652
,,,,,299,645
"4120,8","3,76940643",,0,"771,220555578",300,541
,,,,,301,607
,,,,,302,649
,,,,,303,652
"4122,4","3,7715207975",,0,"771,6531551685",304,648
,,,,,305,635
,,,,,306,641
,,,,,307,640
4124,"3,8459938575",,0,"786,8903432445",308,647
,,,,,309,649
,,,,,310,649
,,,,,311,647
"4125,6","3,8872544575",,0,"795,3322620045",312,643
,,,,,313,633
,,,,,314,646
,,,,,315,645
"4127,2","3,7994062125",,0,"777,3585110775",316,645
,,,,,317,628
,,,,,318,641
,,,,,319,641
"4128,8","3,739159595",,0,"765,032053137",320,644
,,,,,321,635
,,,,,322,628
,,,,,323,642
"4130,4","3,74876069",,0,"766,996437174",324,633
,,,,,325,625
,,,,,326,618
,,,,,327,633
4132,"3,823977225",,0,"782,385740235",328,636
,,,,,329,636
,,,,,330,633
,,,,,331,635
"4133,6","3,95502282",,0,"809,197668972",332,633
,,,,,333,614
,,,,,334,626
,,,,,335,633
"4135,2","3,96816579",,0,"811,886720634",336,633
,,,,,337,630
,,,,,338,620
,,,,,339,631
"4136,8","3,98352687",,0,"815,029597602",340,630
,,,,,341,630
,,,,,342,621
,,,,,343,581
"4138,4","3,9746238425",,0,"813,2080381755",344,623
,,,,,345,627
,,,,,346,617
,,,,,347,606
4140,"3,9841075625",,0,"815,1484072875",348,616
,,,,,349,611
,,,,,350,625
,,,,,351,622
"4141,6","3,9831052275",,0,"814,9433295465",352,614
,,,,,353,621
,,,,,354,621
,,,,,355,623
"4143,2","3,9268147625",,0,"803,4263004075",356,619
,,,,,357,604
,,,,,358,619
,,,,,359,617
"4144,8","3,918121645",,0,"801,647688567",360,610
,,,,,361,618
,,,,,362,613
,,,,,363,612
"4146,4","3,9778157275",,0,"813,8610978465",364,591
,,,,,365,604
,,,,,366,615
,,,,,367,600
4148,"4,022218665",,0,"822,945938859",368,608
,,,,,369,608
,,,,,370,610
,,,,,371,613
"4149,6","4,0080145225",,0,"820,0397713035",372,608
,,,,,373,610
,,,,,374,611
,,,,,375,608
"4151,2","4,0053952525",,0,"819,5038686615",376,606
,,,,,377,608
,,,,,378,608
,,,,,379,609
"4152,8","4,00486704",,0,"819,395796384",380,608
,,,,,381,605
,,,,,382,607
,,,,,383,605
"4154,4","3,988161505",,0,"815,977843923",384,603
,,,,,385,598
,,,,,386,593
,,,,,387,591
4156,"4,0091858975",,0,"820,2794346285",388,597
,,,,,389,602
,,,,,390,598
,,,,,391,599
"4157,6","4,0244208275",,0,"823,3965013065",392,595
,,,,,393,583
,,,,,394,598
,,,,,395,595
"4159,2","4,0078464925",,0,"820,0053923655",396,584
,,,,,397,589
,,,,,398,594
,,,,,399,595
"4160,8","3,996002765",,0,"817,582165719",400,594
,,,,,401,595
,,,,,402,594
,,,,,403,594
"4162,4","3,9793302275",,0,"814,1709645465",404,593
,,,,,405,593
,,,,,406,594
,,,,,407,593
4164,"3,937097975",,0,"805,530245685",408,594
,,,,,409,590
,,,,,410,586
,,,,,411,590
"4165,6","3,9823880925",,0,"814,7966037255",412,590
,,,,,413,589
,,,,,414,581
,,,,,415,585
"4167,2","3,965359515",,0,"811,312556769",416,581
,,,,,417,584
,,,,,418,583
,,,,,419,585
"4168,8","3,9725344",,0,"812,78053824",420,584
,,,,,421,583
,,,,,422,585
,,,,,423,587
"4170,4","3,96958482",,0,"812,177054172",424,587
,,,,,425,586
,,,,,426,584
,,,,,427,583
4172,"3,8941140675",,0,"796,7357382105",428,580
,,,,,429,582
,,,,,430,580
,,,,,431,580
"4173,6","3,8347387925",,0,"784,5875569455",432,580
,,,,,433,580
,,,,,434,579
,,,,,435,581
"4175,2","3,9458687",,0,"807,32473602",436,579
,,,,,437,579
,,,,,438,577
,,,,,439,572
"4176,8","3,93421702",,0,"804,940802292",440,577
,,,,,441,577
,,,,,442,576
,,,,,443,570
"4178,4","3,8232758325",,0,"782,2422353295",444,574
,,,,,445,567
,,,,,446,570
,,,,,447,571
4180,"3,8973162475",,0,"797,3909042385",448,572
,,,,,449,570
,,,,,450,570
,,,,,451,570
"4181,6","3,9325400375",,0,"804,5976916725",452,570
,,,,,453,569
,,,,,454,567
,,,,,455,567
"4183,2","3,94236376",,0,"806,607625296",456,563
,,,,,457,560
,,,,,458,566
,,,,,459,563
"4184,8","3,9053886075",,0,"799,0425090945",460,560
,,,,,461,560
,,,,,462,557
,,,,,463,560
"4186,4","3,9078676",,0,"799,54971096",464,560
,,,,,465,560
,,,,,466,560
,,,,,467,559
4188,"3,9038678525",,0,"798,7313626215",468,558
,,,,,469,557
,,,,,470,555
,,,,,471,556
"4189,6","3,92143948",,0,"802,326517608",472,555
,,,,,473,555
,,,,,474,554
,,,,,475,553
"4191,2","3,917879335",,0,"801,598111941",476,549
,,,,,477,549
,,,,,478,549
,,,,,479,550
"4192,8","3,90066668",,0,"798,076402728",480,548
,,,,,481,547
,,,,,482,544
,,,,,483,545
"4194,4","3,80669352",,0,"778,849494192",484,543
,,,,,485,541
,,,,,486,546
,,,,,487,541
4196,"3,8976380825",,0,"797,4567516795",488,543
,,,,,489,542
,,,,,490,543
,,,,,491,540
"4197,6","3,8916420425",,0,"796,2299618955",492,539
,,,,,493,539
,,,,,494,537
,,,,,495,536
"4199,2","3,85713579",,0,"789,169982634",496,536
,,,,,497,536
,,,,,498,537
,,,,,499,538
"4200,8","3,863603025",,0,"790,493178915",500,531
,,,,,501,531
,,,,,502,528
,,,,,503,528
"4202,4","3,85238197",,0,"788,197351062",504,530
,,,,,505,531
,,,,,506,529
,,,,,507,527
4204,"3,8905342475",,0,"796,0033070385",508,529
,,,,,509,526
,,,,,510,525
,,,,,511,522
"4205,6","3,8852597825",,0,"794,9241514995",512,523
,,,,,513,522
,,,,,514,516
,,,,,515,509
"4207,2","3,8962611325",,0,"797,1750277095",516,515
,,,,,517,515
,,,,,518,513
,,,,,519,510
"4208,8","3,8788806475",,0,"793,6189804785",520,507
,,,,,521,503
,,,,,522,498
,,,,,523,495
"4210,4","3,879335495",,0,"793,712042277",524,490
,,,,,525,482
,,,,,526,475
,,,,,527,465
4212,"3,886693645",,0,"795,217519767",528,456
,,,,,529,441
,,,,,530,421
,,,,,531,405
"4213,6","3,8769698375",,0,"793,2280287525",532,383
,,,,,533,355
,,,,,534,325
,,,,,535,291
"4215,2","3,8485639775",,0,"787,4161897965",536,251
,,,,,537,204
,,,,,538,163
,,,,,539,215
"4216,8","3,853253915",,0,"788,375751009",540,259
,,,,,541,297
,,,,,542,329
,,,,,543,359
"4218,4","3,853085885",,0,"788,341372071",544,384
,,,,,545,405
,,,,,546,421
,,,,,547,432
4220,"3,845187915",,0,"786,725447409",548,445
,,,,,549,458
,,,,,550,466
,,,,,551,472
"4221,6","3,8511805225",,0,"787,9515349035",552,475
,,,,,553,480
,,,,,554,484
,,,,,555,487
"4223,2","3,8338537275",,0,"784,4064726465",556,489
,,,,,557,490
,,,,,558,493
,,,,,559,496
"4224,8","3,8098125425",,0,"779,4876461955",560,495
,,,,,561,497
,,,,,562,498
,,,,,563,497
"4226,4","3,8007321975",,0,"777,6298076085",564,499
,,,,,565,499
,,,,,566,502
,,,,,567,499
4228,"3,80396667",,0,"778,291580682",568,500
,,,,,569,495
,,,,,570,497
,,,,,571,498
"4229,6","3,8338725",,0,"784,4103135",572,500
,,,,,573,498
,,,,,574,494
,,,,,575,491
"4231,2","3,8380309925",,0,"785,2611410655",576,484
,,,,,577,470
,,,,,578,494
,,,,,579,500
"4232,8","3,66699558",,0,"750,267295668",580,501
,,,,,581,498
,,,,,582,496
,,,,,583,493
"4234,4","3,7534711125",,0,"767,9601896175",584,496
,,,,,585,497
,,,,,586,496
,,,,,587,494
4236,"3,7802562025",,0,"773,4404190315",588,494
,,,,,589,493
,,,,,590,496
,,,,,591,495
"4237,6","3,8040206625",,0,"778,3026275475",592,492
,,,,,593,491
