Pixel	ADU
797	389
798	400
799	401
800	401
801	401
802	395
803	400
804	399
805	400
806	398
807	396
808	400
809	399
810	400
811	395
812	397
813	396
814	395
815	395
816	391
817	393
818	394
819	395
820	391
821	390
822	378
823	378
824	391
825	394
826	392
827	389
828	386
829	390
830	385
831	381
832	388
833	388
834	386
835	387
836	384
837	383
838	388
839	387
840	387
841	385
842	387
843	386
844	386
845	385
846	385
847	385
848	383
849	383
850	383
851	374
852	378
853	382
854	382
855	381
856	379
857	379
858	379
859	380
860	382
861	381
862	380
863	380
864	377
865	380
866	377
867	376
868	377
869	378
870	378
871	375
872	374
873	375
874	377
875	370
876	367
877	373
878	373
879	372
880	372
881	373
882	372
883	370
884	370
885	372
886	373
887	371
888	370
889	370
890	367
891	369
892	366
893	368
894	367
895	365
896	367
897	368
898	369
899	369
900	370
901	367
902	366
903	366
904	366
905	368
906	367
907	367
908	365
909	364
910	364
911	365
912	366
913	365
914	363
915	362
916	357
917	362
918	362
919	363
920	362
921	362
922	362
923	358
924	357
925	358
926	359
927	361
928	360
929	358
930	359
931	359
932	356
933	356
934	358
935	358
936	357
937	357
938	355
939	353
940	355
941	351
942	355
943	354
944	354
945	355
946	356
947	356
948	354
949	354
950	353
951	354
952	352
953	353
954	352
955	348
956	350
957	351
958	350
959	346
960	349
961	349
962	350
963	350
964	349
965	348
966	348
967	348
968	348
969	348
970	348
971	346
972	348
973	347
974	347
975	346
976	345
977	345
978	345
979	345
980	344
981	344
982	344
983	344
984	344
985	343
986	343
987	344
988	342
989	342
990	342
991	340
992	339
993	341
994	341
995	340
996	340
997	340
998	339
999	337
1000	339
1001	339
1002	337
1003	337
1004	337
1005	338
1006	338
1007	338
1008	337
1009	336
1010	336
1011	337
1012	336
1013	335
1014	336
1015	335
1016	335
1017	334
1018	335
1019	334
1020	334
1021	334
1022	333
1023	333
1024	332
1025	331
1026	332
1027	330
1028	330
1029	331
1030	331
1031	331
1032	331
1033	331
1034	330
1035	330
1036	328
1037	328
1038	329
1039	329
1040	329
1041	328
1042	327
1043	327
1044	328
1045	327
1046	326
1047	326
1048	326
1049	325
1050	324
1051	323
1052	323
1053	323
1054	323
1055	321
1056	322
1057	322
1058	322
1059	322
1060	322
1061	322
1062	322
1063	322
1064	321
1065	321
1066	319
1067	320
1068	320
1069	319
1070	319
1071	319
1072	319
1073	318
1074	317
1075	317
1076	317
1077	318
1078	317
1079	316
1080	315
1081	316
1082	315
1083	315
1084	316
1085	315
1086	315
1087	315
1088	314
1089	315
1090	314
1091	313
1092	315
1093	313
1094	313
1095	312
1096	312
1097	312
1098	312
1099	312
1100	312
1101	312
1102	311
1103	311
1104	311
1105	310
1106	310
1107	310
1108	310
1109	310
1110	309
1111	310
1112	307
1113	309
1114	307
1115	307
1116	309
1117	308
1118	308
1119	307
1120	308
1121	308
1122	307
1123	308
1124	307
1125	308
1126	307
1127	306
1128	306
1129	306
1130	307
1131	306
1132	307
1133	305
1134	305
1135	305
1136	305
1137	305
1138	305
1139	304
1140	304
1141	304
1142	305
1143	304
1144	303
1145	304
1146	303
1147	303
1148	303
1149	302
1150	302
1151	301
1152	303
1153	302
1154	301
1155	302
1156	300
1157	300
1158	299
1159	300
1160	300
1161	299
1162	299
1163	299
1164	298
1165	297
1166	297
1167	297
1168	297
1169	296
1170	296
1171	294
1172	284
1173	295
1174	295
1175	294
1176	293
1177	293
1178	291
1179	290
1180	288
1181	279
1182	288
1183	291
1184	286
1185	285
1186	288
1187	288
1188	288
1189	289
1190	291
1191	290
1192	288
1193	288
1194	290
1195	288
1196	287
1197	288
1198	286
1199	283
1200	287
1201	285
1202	283
1203	288
1204	287
1205	287
1206	287
1207	284
1208	286
1209	286
1210	285
1211	284
1212	282
1213	278
1214	283
1215	280
1216	279
1217	281
1218	281
1219	284
1220	283
1221	283
1222	280
1223	274
1224	280
1225	281
1226	279
1227	281
1228	280
1229	278
1230	279
1231	280
1232	280
1233	279
1234	279
1235	275
1236	273
1237	277
1238	279
1239	279
1240	278
1241	278
1242	278
1243	279
1244	278
1245	277
1246	278
1247	278
1248	277
1249	277
1250	277
1251	277
1252	277
1253	276
1254	277
1255	275
1256	275
1257	275
1258	275
1259	275
1260	275
1261	275
1262	274
1263	274
1264	274
1265	274
1266	274
1267	273
1268	274
1269	274
1270	274
1271	273
1272	272
1273	272
1274	272
1275	272
1276	271
1277	272
1278	271
1279	272
1280	271
1281	270
1282	272
1283	270
1284	270
1285	271
1286	269
1287	270
1288	269
1289	270
1290	270
1291	270
1292	269
1293	269
1294	269
1295	270
1296	269
1297	269
1298	268
1299	267
1300	269
1301	267
1302	267
1303	268
1304	267
1305	266
1306	267
1307	267
1308	267
1309	266
1310	267
1311	267
1312	266
1313	266
1314	266
1315	266
1316	265
1317	266
1318	265
1319	265
1320	265
1321	265
1322	265
1323	265
1324	264
1325	264
1326	264
1327	264
1328	264
1329	263
1330	263
1331	263
1332	263
1333	263
1334	263
1335	263
1336	262
1337	262
1338	262
1339	262
1340	261
